"","edu2.fm","lab.fm","life.exp","edu.exp","edu.mean","GNI","GII","mat.mor","ado.birth"
"Brazil",1.04198473282443,0.735148514851485,74.5,15.2,7.7,15175,0.457,69,70.8
"Georgia",0.967637540453074,0.752330226364847,74.9,13.8,12.1,7164,0.382,41,46.8
"Azerbaijan",0.962012320328542,0.903735632183908,70.8,11.9,11.2,16428,0.303,26,40
"Jordan",0.885350318471338,0.234234234234234,74,13.5,9.9,11365,0.473,50,26.5
"The former Yugoslav Republic of Macedonia",0.723021582733813,0.638518518518518,75.4,13.4,9.3,11780,0.164,7,18.3
"Ukraine",0.956204379562044,0.795216741405082,71,15.1,11.3,8178,0.286,23,25.7
"Algeria",0.861290322580645,0.210526315789474,74.8,14,7.6,13054,0.413,89,10
"Peru",0.851739788199697,0.808056872037915,74.6,13.1,9,11015,0.406,89,50.7
"Albania",0.930602957906712,0.685496183206107,77.8,11.8,9.3,9943,0.217,21,15.3
"Armenia",0.989473684210526,0.746556473829201,74.7,12.3,10.9,8124,0.318,29,27.1
"Bosnia and Herzegovina",0.643266475644699,0.595113438045375,76.5,13.6,8.3,9638,0.201,8,15.1
"Ecuador",1.01776649746193,0.66142684401451,75.9,14.2,7.6,10605,0.407,87,77
"China",0.816411682892907,0.816091954022989,75.8,13.1,7.5,12547,0.191,32,8.6
"Fiji",0.995348837209302,0.520833333333333,70,15.7,9.9,7493,0.418,59,42.8
"Mongolia",1.01426872770511,0.816738816738817,69.4,14.6,9.3,10729,0.325,68,18.7
"Thailand",0.875,0.796778190830235,74.4,13.5,7.3,13323,0.38,26,41
"Libya",1.32458233890215,0.392670157068063,71.6,14,7.3,14911,0.134,15,2.5
"Tunisia",0.711496746203904,0.354019746121298,74.8,14.6,6.8,10404,0.24,46,4.6
"Colombia",1.02338129496403,0.700125470514429,74,13.5,7.3,12040,0.429,83,68.5
"Jamaica",1.05413105413105,0.791255289139633,75.7,12.4,9.7,7415,0.43,80,70.1
"Tonga",0.990939977349943,0.7171581769437,72.8,14.7,10.7,5069,0.666,120,18.1
"Belize",1.00791556728232,0.597812879708384,70,13.6,10.5,7614,0.426,45,71.4
"Dominican Republic",1.04708097928437,0.652671755725191,73.5,13.1,7.6,11883,0.477,100,99.6
"Suriname",0.94692144373673,0.588662790697674,71.1,12.7,7.7,15617,0.463,130,35.2
"Maldives",0.834862385321101,0.725161290322581,76.8,13,5.8,12328,0.243,31,4.2
"Samoa",1.07166666666667,0.402397260273973,73.4,12.9,10.3,5327,0.457,58,28.3
"Botswana",0.944801026957638,0.881127450980392,64.5,12.5,8.9,16646,0.48,170,44.2
"Moldova (Republic of)",0.968944099378882,0.850678733031674,71.6,11.9,11.2,5223,0.248,21,29.3
"Egypt",0.724422442244224,0.316844919786096,71.1,13.5,6.6,10512,0.573,45,43
"Gabon",1.49307479224377,0.859327217125382,64.4,12.5,7.8,16367,0.514,240,103
"Indonesia",0.810975609756098,0.610451306413302,68.9,13,7.6,9788,0.494,190,48.3
"Paraguay",0.855813953488372,0.65683962264151,72.9,11.9,7.7,7643,0.472,110,67
"Philippines",1.03453689167975,0.641154328732748,68.2,11.3,8.9,7915,0.42,120,46.8
"El Salvador",0.844036697247706,0.605063291139241,73,12.3,6.5,7349,0.427,69,76
"South Africa",0.957839262187088,0.735537190082645,57.4,13.6,9.9,12122,0.407,140,50.9
"Viet Nam",0.834269662921348,0.888077858880779,75.8,11.9,7.5,5092,0.308,49,29
"Bolivia (Plurinational State of)",0.805414551607445,0.793572311495674,68.3,13.2,8.2,5760,0.444,200,71.9
"Kyrgyzstan",0.976239669421488,0.70440251572327,70.6,12.5,10.6,3044,0.353,75,29.3
"Iraq",0.553784860557769,0.213467048710602,69.4,10.1,6.4,14003,0.539,67,68.7
"Guyana",1.26150627615063,0.529192546583851,66.4,10.3,8.5,6522,0.515,250,88.5
"Nicaragua",1.02872062663185,0.590286425902864,74.9,11.5,6,4457,0.449,100,100.8
"Morocco",0.685430463576159,0.349604221635884,74,11.6,4.4,6850,0.525,120,35.8
"Namibia",0.968023255813953,0.858712715855573,64.8,11.3,6.2,9418,0.401,130,54.9
"Guatemala",0.943965517241379,0.558956916099773,71.8,10.7,5.6,6929,0.533,140,97.2
"Tajikistan",1.04276315789474,0.763942931258106,69.4,11.2,10.4,2517,0.357,44,42.8
"India",0.477031802120141,0.337922403003755,68,11.7,5.4,5497,0.563,190,32.8
"Honduras",1.08527131782946,0.516284680337756,73.1,11.1,5.5,3938,0.48,120,84
"Bhutan",0.985507246376812,0.863989637305699,69.5,12.6,3,7176,0.457,120,40.9
"Syrian Arab Republic",0.728395061728395,0.185694635488308,69.6,12.3,6.3,2728,0.533,49,41.6
"Congo",0.84468085106383,0.938356164383562,62.3,11.1,6.1,6012,0.593,410,126.7
"Zambia",0.586363636363636,0.853971962616822,60.1,13.5,6.6,3734,0.587,280,125.4
"Ghana",0.698608964451314,0.942577030812325,61.4,11.5,7,3852,0.554,380,58.4
"Bangladesh",0.825665859564165,0.682520808561237,71.6,10,5.1,3191,0.503,170,80.6
"Cambodia",0.432314410480349,0.910982658959538,68.4,10.9,4.4,2949,0.477,170,44.3
"Kenya",0.805732484076433,0.859116022099447,61.6,11,6.3,2762,0.552,400,93.6
"Nepal",0.463350785340314,0.917336394948335,69.6,12.4,3.3,2311,0.489,190,73.7
"Pakistan",0.418655097613883,0.296743063932449,66.2,7.8,4.7,4866,0.536,170,27.3
"Myanmar",1.49673202614379,0.913730255164034,65.9,8.6,4.1,4608,0.413,200,12.1
"Swaziland",0.842307692307692,0.613128491620112,49,11.3,7.1,5542,0.557,310,72
"Tanzania (United Republic of)",0.589473684210526,0.976718403547672,65,9.2,5.1,2411,0.547,410,122.7
"Cameroon",0.610315186246418,0.830729166666667,55.5,10.4,6,2803,0.587,590,115.8
"Zimbabwe",0.785483870967742,0.927536231884058,57.5,10.9,7.3,1615,0.504,470,60.3
"Mauritania",0.397129186602871,0.36283185840708,63.1,8.5,3.8,3560,0.61,320,73.3
"Papua New Guinea",0.524137931034483,0.952702702702703,62.6,9.9,4,2463,0.611,220,62.1
"Yemen",0.322097378277154,0.35180055401662,63.8,9.2,2.6,3519,0.744,270,47
"Lesotho",1.15263157894737,0.802721088435374,49.8,11.1,5.9,3306,0.541,490,89.4
"Togo",0.399503722084367,0.991389913899139,59.7,12.2,4.5,1228,0.588,450,91.5
"Haiti",0.636363636363636,0.857746478873239,62.8,8.7,4.9,1669,0.603,380,42
"Rwanda",0.909090909090909,1.01289566236811,64.2,10.3,3.7,1458,0.4,320,33.6
"Uganda",0.683582089552239,0.957070707070707,58.5,9.8,5.4,1613,0.538,360,126.6
"Benin",0.418518518518519,0.863346104725415,59.6,11.1,3.3,1767,0.614,340,90.2
"Sudan",0.664835164835165,0.411842105263158,63.5,7,3.1,3809,0.591,360,84
"Senegal",0.467532467532468,0.75,66.5,7.9,2.5,2188,0.528,320,94.4
"Afghanistan",0.197986577181208,0.19874213836478,60.4,9.3,3.2,1885,0.693,400,86.8
"Côte d'Ivoire",0.465116279069767,0.643734643734644,51.5,8.9,4.3,3171,0.679,720,130.3
"Malawi",0.513888888888889,1.03803680981595,62.8,10.8,4.3,747,0.611,510,144.8
"Ethiopia",0.428571428571429,0.875699888017917,64.1,8.5,2.4,1428,0.558,420,78.4
"Gambia",0.552380952380952,0.870928829915561,60.2,8.8,2.8,1507,0.622,430,115.8
"Congo (Democratic Republic of the)",0.395061728395062,0.965846994535519,58.7,9.8,6,680,0.673,730,135.3
"Liberia",0.391857506361323,0.898148148148148,60.9,9.5,4.1,805,0.651,640,117.4
"Mali",0.509933774834437,0.624078624078624,58,8.4,2,1583,0.677,550,175.6
"Mozambique",0.225806451612903,1.03260869565217,55.1,9.3,3.2,1123,0.591,480,137.8
"Sierra Leone",0.460829493087558,0.952173913043478,50.9,8.6,3.1,1780,0.65,1100,100.7
"Burkina Faso",0.28125,0.856666666666667,58.7,7.8,1.4,1591,0.631,400,115.4
"Burundi",0.63855421686747,1.01585365853659,56.7,10.1,2.7,758,0.492,740,30.3
"Chad",0.171717171717172,0.808080808080808,51.6,7.4,1.9,2085,0.706,980,152
"Central African Republic",0.378277153558052,0.853113983548766,50.7,7.2,4.2,581,0.655,880,98.3
"Niger",0.307692307692308,0.445930880713489,61.4,5.4,1.5,908,0.713,630,204.8
